,Unnamed: 0,date,views,year,month,days
242,242,2025-07-29,53870,2025,7,59
243,243,2025-07-30,55930,2025,7,60
244,244,2025-07-31,52819,2025,7,61
245,245,2025-08-01,50166,2025,8,62
246,246,2025-08-02,44141,2025,8,63
247,247,2025-08-03,46487,2025,8,64
248,248,2025-08-04,49345,2025,8,65
249,249,2025-08-05,50356,2025,8,66
250,250,2025-08-06,50589,2025,8,67
251,251,2025-08-07,47809,2025,8,68
252,252,2025-08-08,47134,2025,8,69
253,253,2025-08-09,44110,2025,8,70
254,254,2025-08-10,48101,2025,8,71
255,255,2025-08-11,50442,2025,8,72
256,256,2025-08-12,48742,2025,8,73
257,257,2025-08-13,49596,2025,8,74
258,258,2025-08-14,45216,2025,8,75
259,259,2025-08-15,45827,2025,8,76
260,260,2025-08-16,41599,2025,8,77
261,261,2025-08-17,47688,2025,8,78
262,262,2025-08-18,67077,2025,8,79
263,263,2025-08-19,50452,2025,8,80
264,264,2025-08-20,48212,2025,8,81
265,265,2025-08-21,50535,2025,8,82
266,266,2025-08-22,47761,2025,8,83
267,267,2025-08-23,38396,2025,8,84
268,268,2025-08-24,40357,2025,8,85
269,269,2025-08-25,50723,2025,8,86
270,270,2025-08-26,50270,2025,8,87
271,271,2025-08-27,50732,2025,8,88
272,272,2025-08-28,49527,2025,8,89
273,273,2025-08-29,47846,2025,8,90
274,274,2025-08-30,39347,2025,8,91
275,275,2025-08-31,46472,2025,8,92
